Epoch: [0][0/1000]	Time 2.090 (2.090)	Data 1.443 (1.443)	Loss 5.9703 (5.9703)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)	
Epoch: [0][50/1000]	Time 0.621 (0.627)	Data 0.017 (0.044)	Loss 5.3194 (5.7252)	Prec@1 1.000 (0.314)	Prec@5 5.000 (2.314)	
Epoch: [0][100/1000]	Time 0.610 (0.623)	Data 0.012 (0.032)	Loss 5.2782 (5.5405)	Prec@1 1.000 (0.366)	Prec@5 6.000 (2.416)	
Epoch: [0][150/1000]	Time 0.630 (0.622)	Data 0.013 (0.026)	Loss 5.3235 (5.4671)	Prec@1 0.000 (0.384)	Prec@5 1.000 (2.377)	
Epoch: [0][200/1000]	Time 0.632 (0.624)	Data 0.016 (0.023)	Loss 5.3130 (5.4284)	Prec@1 1.000 (0.403)	Prec@5 2.000 (2.348)	
Epoch: [0][250/1000]	Time 0.652 (0.624)	Data 0.016 (0.021)	Loss 5.3053 (5.4033)	Prec@1 0.000 (0.426)	Prec@5 1.000 (2.398)	
Epoch: [0][300/1000]	Time 0.608 (0.623)	Data 0.012 (0.020)	Loss 5.3058 (5.3870)	Prec@1 2.000 (0.419)	Prec@5 3.000 (2.375)	
Epoch: [0][350/1000]	Time 0.782 (0.626)	Data 0.016 (0.019)	Loss 5.2947 (5.3751)	Prec@1 0.000 (0.407)	Prec@5 1.000 (2.379)	
Epoch: [0][400/1000]	Time 0.763 (0.647)	Data 0.015 (0.019)	Loss 5.3387 (5.3660)	Prec@1 1.000 (0.414)	Prec@5 1.000 (2.436)	
Epoch: [0][450/1000]	Time 0.607 (0.663)	Data 0.006 (0.018)	Loss 5.3018 (5.3588)	Prec@1 0.000 (0.430)	Prec@5 3.000 (2.424)	
Epoch: [0][500/1000]	Time 0.699 (0.674)	Data 0.012 (0.018)	Loss 5.3149 (5.3534)	Prec@1 1.000 (0.425)	Prec@5 3.000 (2.429)	
Epoch: [0][550/1000]	Time 0.692 (0.681)	Data 0.015 (0.017)	Loss 5.3031 (5.3487)	Prec@1 0.000 (0.414)	Prec@5 1.000 (2.417)	
Epoch: [0][600/1000]	Time 0.678 (0.687)	Data 0.016 (0.017)	Loss 5.3148 (5.3445)	Prec@1 1.000 (0.434)	Prec@5 3.000 (2.466)	
Epoch: [0][650/1000]	Time 0.779 (0.695)	Data 0.016 (0.017)	Loss 5.3029 (5.3411)	Prec@1 1.000 (0.442)	Prec@5 4.000 (2.490)	
Epoch: [0][700/1000]	Time 0.823 (0.701)	Data 0.009 (0.017)	Loss 5.2926 (5.3380)	Prec@1 0.000 (0.451)	Prec@5 0.000 (2.516)	
Epoch: [0][750/1000]	Time 0.690 (0.707)	Data 0.013 (0.016)	Loss 5.2726 (5.3352)	Prec@1 0.000 (0.475)	Prec@5 3.000 (2.541)	
